date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-07-03,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-05,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-06,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-07,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-10,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-11,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-12,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-13,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-14,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-17,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-18,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-19,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-20,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-21,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-24,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-25,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-26,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-27,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-28,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-07-31,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-01,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-02,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-03,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-04,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-07,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-08,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-09,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-10,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-11,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-14,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-15,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-16,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-17,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-18,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-21,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-22,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-23,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-24,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-25,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-28,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-29,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-30,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-08-31,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-01,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-05,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-06,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-07,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-08,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-11,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-12,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-13,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-14,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-15,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-18,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-19,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-20,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-21,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-22,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-25,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-26,0,8,0,0,14,0,21,5,0,236,0,0,0,0,0,0,0,6,9,0,6,5,9,0,0,0,0,7,0
2023-09-27,6,8,0,2,13,0,22,5,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-28,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-29,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-02,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-03,0,13,0,0,11,0,12,0,0,-2,0,1,0,2,0,0,0,7,6,0,258,0,8,0,0,0,0,3,0
2023-10-04,6,8,0,2,13,0,22,0,0,4,0,1,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-05,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-06,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-09,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-10,2,8,0,0,14,0,21,5,0,30,0,0,0,2,0,0,1,6,9,0,6,5,9,0,3,0,0,7,0
2023-10-11,404,14,0,0,8,0,11,5,0,0,0,0,0,2,1,0,1,5,6,0,-1,0,7,0,0,0,0,4,0
2023-10-12,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-13,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-16,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-17,2,8,0,2,14,0,21,5,0,12,0,0,0,2,1,0,1,6,9,0,6,5,9,1,4,0,0,7,0
2023-10-18,20,14,0,1,8,0,11,5,0,0,0,2,0,3,3,0,1,5,6,0,-1,1,7,-1,0,0,0,4,3
2023-10-19,0,8,0,-2,4,0,2,0,0,0,0,-2,0,2,75,0,3,4,0,0,-1,-5,8,0,0,0,0,3,4
2023-10-20,0,13,0,0,11,0,12,0,0,0,0,4,0,3,0,0,3,7,6,0,37,0,8,0,0,0,0,3,0
2023-10-23,0,11,0,0,13,0,17,0,0,0,0,0,0,1,0,0,0,6,6,0,5,1,10,0,0,0,0,6,-1
