train/reward,train/entropy_loss,time/time_elapsed,train/policy_loss,train/explained_variance,train/value_loss,train/n_updates,time/iterations,train/learning_rate,time/fps,train/std,time/total_timesteps
0.09530231,-41.290771484375,8,1.661891222000122,5.960464477539063e-08,0.002128875581547618,99,100,0.0007,61,1.005199909210205,500
0.07049112,-41.96664047241211,13,-3.880136251449585,-1.1920928955078125e-07,0.00826730765402317,199,200,0.0007,76,1.0287702083587646,1000
0.10251156,-43.036346435546875,17,-0.17764337360858917,5.960464477539063e-08,2.8010044843540527e-05,299,300,0.0007,83,1.0678393840789795,1500
0.08680419,-44.159461975097656,23,-0.01927393116056919,0.0,1.4076940715312958e-05,399,400,0.0007,86,1.1101006269454956,2000
0.06319798,-45.4428825378418,28,0.8455277681350708,0.0,0.0005039338138885796,499,500,0.0007,88,1.160223126411438,2500
0.05967383,-46.48991012573242,33,0.5389787554740906,0.0,0.00015088723739609122,599,600,0.0007,88,1.2028475999832153,3000
-0.27685258,-47.58003234863281,39,-27.047666549682617,5.960464477539063e-08,0.35139909386634827,699,700,0.0007,89,1.2484453916549683,3500
0.08799975,-48.15796661376953,43,-0.050036489963531494,1.1920928955078125e-07,5.516119472304126e-06,799,800,0.0007,91,1.2742656469345093,4000
0.07922105,-49.17426681518555,48,0.13744604587554932,-1.1920928955078125e-07,1.6901418348425068e-05,899,900,0.0007,92,1.3197416067123413,4500
0.07756788,-50.42259979248047,53,-0.12026603519916534,0.0,3.3361069654347375e-05,999,1000,0.0007,93,1.3778568506240845,5000
0.07098311,-51.77677536010742,58,-0.05220097303390503,1.1920928955078125e-07,5.9224453252682e-06,1099,1100,0.0007,93,1.443795084953308,5500
0.062902234,-53.174720764160156,64,0.02883094549179077,-1.1920928955078125e-07,5.6101307563949376e-05,1199,1200,0.0007,93,1.5151458978652954,6000
0.04357507,-54.6129264831543,69,-0.5582718849182129,0.0,0.00012218479241710156,1299,1300,0.0007,93,1.5922327041625977,6500
0.051050548,-55.788543701171875,74,11.83062744140625,0.0,0.05374959856271744,1399,1400,0.0007,93,1.6578377485275269,7000
0.08789384,-56.379188537597656,79,-0.16064484417438507,1.7881393432617188e-07,1.2844769116782118e-05,1499,1500,0.0007,94,1.692103385925293,7500
0.08018683,-57.4314079284668,84,0.5989947319030762,0.0,0.0001479655911680311,1599,1600,0.0007,94,1.7545076608657837,8000
