time/iterations,train/policy_loss,train/value_loss,time/time_elapsed,train/entropy_loss,train/learning_rate,time/fps,train/reward,train/std,train/n_updates,time/total_timesteps,train/explained_variance
100,40.312957763671875,2.4731085300445557,6,-41.0689811706543,0.0007,72,0.09238359,0.9974491596221924,99,500,-0.16218841075897217
200,8.406280517578125,0.6783818006515503,12,-41.062843322753906,0.0007,80,1.0784161,0.9970922470092773,199,1000,0.2988033890724182
300,151.44639587402344,18.01228904724121,17,-41.080780029296875,0.0007,85,-2.9509797,0.9974526166915894,299,1500,-0.10977709293365479
400,-2.7553939819335938,0.4303063452243805,23,-40.996925354003906,0.0007,86,-0.29196906,0.995099663734436,399,2000,0.0
500,-290.5893249511719,75.1988754272461,28,-41.076690673828125,0.0007,86,4.738848,0.9978110194206238,499,2500,-0.021497130393981934
600,-612.54150390625,249.98037719726562,35,-41.08085632324219,0.0007,85,-7.070268,0.997864842414856,599,3000,-0.010365724563598633
700,106.64214324951172,7.555525302886963,41,-41.06167221069336,0.0007,84,1.8562888,0.9972482323646545,699,3500,1.1920928955078125e-07
800,24.022171020507812,0.6680745482444763,47,-41.090206146240234,0.0007,83,-0.9496044,0.998087465763092,799,4000,-0.009284257888793945
900,-29.35233497619629,0.7840744853019714,53,-41.0660400390625,0.0007,83,2.0705094,0.9975881576538086,899,4500,0.0001251697540283203
1000,-191.98106384277344,41.19172668457031,59,-41.09503173828125,0.0007,83,2.6340067,0.9987181425094604,999,5000,0.2429434061050415
1100,-32.71339416503906,2.235755205154419,66,-41.118526458740234,0.0007,82,-0.189542,0.9989843368530273,1099,5500,-0.005174756050109863
1200,-60.27877426147461,4.4714555740356445,73,-41.10548400878906,0.0007,82,-5.414042,0.9986927509307861,1199,6000,-0.20105040073394775
1300,205.9404754638672,32.460201263427734,79,-41.176361083984375,0.0007,81,11.872311,1.0012184381484985,1299,6500,-0.042726874351501465
1400,178.06771850585938,19.40603256225586,86,-41.19963073730469,0.0007,81,1.2061068,1.0021640062332153,1399,7000,-0.008292913436889648
1500,101.3394775390625,6.583632946014404,93,-41.188961029052734,0.0007,80,-0.5980374,1.0015875101089478,1499,7500,-0.08658719062805176
1600,-127.17003631591797,11.446409225463867,99,-41.15039825439453,0.0007,80,1.8274382,1.000473141670227,1599,8000,-0.11401009559631348
